brand,model,color,registration_date,year,price,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
bmw,BMW X1,white,07/2020,2020,33000,162.0,220,Automatic,Other,59 km (Ort),51.0,23000.0,X1 XDrive 25e Sport Line
bmw,BMW i3,white,05/2020,2020,25896,125.0,170,Automatic,Electric,413 km (Ort),289.0,30313.0,120Ah Sportpaket/Kamera/PDC/20Zoll
bmw,BMW i3,white,10/2020,2020,25530,75.0,102,Automatic,Electric,420 km (Ort),359.0,23674.0,120Ah *DAB*WLAN*RFK*Navi Prof.*Tempomat*Shz*
bmw,BMW i3,blue,04/2021,2021,25480,125.0,170,Automatic,Electric,425 km (Ort),307.0,21737.0,120Ah DAB Shz
bmw,BMW iX3,grey,08/2021,2021,59900,210.0,286,Automatic,Electric,564 km (Ort),453.0,4463.0,Gestiksteuerung Head-Up HK HiFi DAB LED Shz
bmw,BMW i3,black,04/2021,2021,26090,125.0,170,Automatic,Electric,423 km (Ort),359.0,24224.0,120Ah Navi Prof PA RFK DAB PDC WLAN
bmw,BMW i3,black,04/2021,2021,30090,135.0,184,Automatic,Electric,397 km (Ort),281.0,18124.0,s 120 Ah () DAB LED WLAN RFK Navi Prof. Shz
bmw,BMW i3,black,03/2021,2021,26980,75.0,102,Automatic,Electric,424 km (Ort),307.0,12956.0,"120Ah DAB LED GRA  NAVI PROF. ALU 19"""
bmw,BMW i3,black,09/2021,2021,30790,135.0,184,Automatic,Electric,399 km (Ort),282.0,3750.0,s 120 Ah DAB RFK Navi Bus. Komfortzg. Shz PDC
bmw,BMW iX,black,12/2021,2021,84999,385.0,523,Automatic,Electric,600 km (Ort),570.0,25000.0,iX xDrive50
bmw,BMW iX3,white,07/2021,2021,56990,210.0,286,Automatic,Electric,571 km (Ort),458.0,2904.0,DAB LED Parkassistent Klimaaut. Shz
bmw,BMW i3,white,05/2021,2021,27490,135.0,184,Automatic,Electric,399 km (Ort),282.0,32616.0,s 120 Ah*WLAN*Komfortzugang*Navi Prof*
bmw,BMW i3,white,04/2021,2021,27806,125.0,170,Automatic,Electric,411 km (Ort),289.0,12178.0,120Ah | Sportpaket | Wärmep.| Navi Prof. etc.
bmw,BMW i3,white,05/2021,2021,27490,135.0,184,Automatic,Electric,399 km (Ort),282.0,20638.0,s 120 Ah*Navi Prof*Driving A Plus*Tempomat*
bmw,BMW i3,white,05/2021,2021,26990,135.0,184,Automatic,Electric,399 km (Ort),284.0,23418.0,s 120 Ah*Navi*Driv A Plus*DAB*Keyless*20 Zoll*
bmw,BMW 330,grey,01/2022,2022,51300,215.0,292,Automatic,Other,60 km (Ort),56.0,8300.0,330e Touring xDrive*M-Paket*Laser*PaDa*Top
bmw,BMW i4,grey,12/2022,2022,86300,400.0,544,Automatic,Electric,561 km (Ort),499.0,7500.0,M50 LH RFK SHZ NAVI HuD ACC AHK HK HiFi DAB
bmw,BMW i3,black,04/2022,2022,33500,135.0,184,Automatic,Electric,397 km (Ort),281.0,23100.0,"s 120 Ah Navi 20"" LMR"
bmw,BMW i4,black,02/2022,2022,62600,250.0,340,Manual,Electric,669 km (Ort),574.0,23500.0,eDrive 40 Gran Coupé Laserlicht adaptives M Fahrwe
bmw,BMW iX3,white,12/2022,2022,64500,210.0,286,Manual,Electric,563 km (Ort),453.0,4000.0,Impressive Gestiksteuerung Head-Up HK HiFi
bmw,BMW i4,white,12/2022,2022,69900,400.0,544,Automatic,Electric,567 km (Ort),502.0,3500.0,M50 - mit AHK - HJW von WA
bmw,BMW i3,white,06/2022,2022,32480,75.0,102,Automatic,Electric,420 km (Ort),283.0,5312.0,120Ah LED Tempo Navi Kamera WLAN Sitzheiz Klimaaut
bmw,BMW iX,white,06/2022,2022,94900,385.0,523,Automatic,Electric,678 km (Ort),592.0,26626.0,xDrive50 22 Zoll*Harman Kardon*360 Kamera*Luftfede
bmw,BMW iX,white,05/2022,2022,104900,397.0,540,Automatic,Electric,600 km (Ort),545.0,11436.0,M60 Sky Lounge*Bowers*Sitzbelüftung*AHK* DAB
bmw,BMW iX,white,06/2022,2022,67800,240.0,326,Manual,Electric,462 km (Ort),399.0,26000.0,xDrive40 Sportpaket HK HiFi DAB Pano.Dach
bmw,BMW iX1,white,12/2022,2022,54899,230.0,313,Automatic,Electric,497 km (Ort),417.0,3620.0,"M,XDrive,Massages.,harman,Schiebedach,Sport,19"""
bmw,BMW iX,grey,05/2023,2023,79990,240.0,326,Manual,Electric,461 km (Ort),398.0,1586.0,xDrive40 Sportpaket HK HiFi DAB Pano.Dach
bmw,BMW i5,grey,06/2023,2023,85400,250.0,340,Automatic,Electric,642 km (Ort),533.0,2000.0,BMW i5 eDrive40 Limousine
bmw,BMW 230,grey,01/2023,2023,50500,240.0,326,Automatic,Hybrid,106 km (Ort),91.0,11000.0,2er Active Tourer 230e xDrive Active Tourer Aut. L
bmw,BMW i7,grey,04/2023,2023,169990,400.0,544,Manual,Electric,662 km (Ort),598.0,5500.0,xDrive60 M Sport HuD PANO ACC 360° AHK DAB
bmw,BMW iX1,black,04/2023,2023,60970,200.0,272,Manual,Electric,510 km (Ort),425.0,4500.0,xDrive30 M-Sport-BAFA Abzug möglich-Prof-Paket-AHK
